Days,Hours,Effort
737541,2.070833333,24
737542,0.0168,24
737543,1.282222222,24
737544,0.110833336,24
737545,0.219444444,24
737546,0.386388889,24
737547,1.024166666,24
737548,0,24
737549,0,24
737550,0,24
737551,2.018055556,24
737552,0,24
737553,0.349722222,24
737554,7.550277779,24
