43580.451836297405,43580.475882888888
43580.498317815945,43580.560552425915
43581.357588019688,43581.357925111079
43582.38388618629,43582.437305722269
43583.341812501196,43583.346434759209
43584.734192575328,43584.736231407383
43584.767582149361,43584.774688962963
43585.047411890002,43585.062662962941
43585.840124982642,43585.840962222195
43586.632243112312,43586.674914129544
43590.405329297413,43590.40803411114
43590.431077038171,43590.440507722204
43590.463827297441,43590.483642055653
43590.715821186313,43590.751345685101
43590.776601667749,43590.793210870354
43592.070590427029,43592.073332073982
43592.916275649332,43592.928120277822
43593.14162283449,43593.456216870341
