Start,End
1/13/2014 12:08,1/13/2014 13:27
1/13/2014 17:55,1/13/2014 18:10
1/15/2014 6:41,1/15/2014 7:18
1/15/2014 18:28,1/15/2014 18:47
1/16/2014 12:15,1/16/2014 13:05
1/16/2014 15:30,1/16/2014 17:08
1/16/2014 19:58,1/17/2014 1:36
1/17/2014 2:05,1/17/2014 2:07
1/17/2014 2:41,1/17/2014 3:08
1/17/2014 19:37,1/17/2014 19:39
1/17/2014 21:08,1/17/2014 21:36
1/17/2014 22:36,1/17/2014 23:57
1/18/2014 5:34,1/18/2014 6:05
1/18/2014 15:41,1/18/2014 17:14
1/19/2014 5:31,1/19/2014 5:37
1/19/2014 6:26,1/19/2014 6:29
1/19/2014 10:17,1/19/2014 12:09
1/19/2014 22:25,1/19/2014 22:39
1/20/2014 6:42,1/20/2014 6:48
1/20/2014 7:09,1/20/2014 7:24
1/20/2014 9:26,1/20/2014 9:48
1/22/2014 22:40,1/22/2014 23:09
1/23/2014 2:46,1/23/2014 4:19
1/23/2014 9:24,1/23/2014 10:40
1/25/2014 18:47,1/25/2014 18:53
1/25/2014 20:48,1/25/2014 21:03
1/27/2014 11:09,1/27/2014 11:32
1/29/2014 22:00,1/30/2014 1:17
1/30/2014 1:47,1/30/2014 1:51
1/30/2014 3:34,1/30/2014 5:42
2/1/2014 0:31,2/1/2014 2:36
2/1/2014 22:44,2/2/2014 2:22
2/2/2014 10:37,2/2/2014 14:38
2/2/2014 19:51,2/2/2014 20:20
2/8/2014 10:08,2/8/2014 10:26
2/9/2014 15:56,2/9/2014 16:03
2/11/2014 0:37,2/11/2014 0:57
2/13/2014 12:48,2/13/2014 13:17
2/23/2014 21:32,2/23/2014 21:44
2/24/2014 4:01,2/24/2014 4:08
2/24/2014 9:02,2/24/2014 9:11
2/26/2014 7:09,2/26/2014 7:10
2/27/2014 5:00,2/27/2014 6:16
3/1/2014 12:29,3/1/2014 12:40
3/4/2014 21:13,3/4/2014 22:28
3/15/2014 10:51,3/15/2014 11:08
