Start,End
735595.5418,735595.5514
735595.5794,735595.9134
735595.9357,735596.0141
735596.2033,735596.2057
735596.3261,735596.3261
735596.3833,735596.4443
735596.4666,735597.0035
735597.0584,735597.0982
735597.1194,735597.8085
735597.9684,735597.9855
735598.0295,735598.0447
735598.1164,735598.1164
735598.1998,735598.2159
735598.4853,735598.4853
735598.5231,735598.5861
735598.61,735598.7894
735598.8669,735599.0371
735599.0647,735599.6533
735600.1309,735600.1478
735600.1716,735600.1716
735600.2832,735600.2845
735600.7029,735600.7264
735601.3074,735601.4636
735601.4867,735601.6285
735601.7707,735601.7817
735601.8088,735601.9397
735601.9695,735601.9827
735602.0058,735602.8583
735602.8815,735602.8816
735602.9275,735603.3843
735603.5172,735603.5172
735603.5466,735603.5621
735604.058,735604.058
735604.0892,735604.1074
735604.163,735604.1743
735604.2227,735604.2238
735604.6166,735604.6388
735604.6613,735604.7343
735604.7696,735604.7888
735604.852,735605.448
735605.4792,735605.4949
735605.5273,735605.5278
735605.6616,735605.6784
735605.8945,735605.8946
735605.9429,735606.671
735606.7078,735606.8338
735606.8608,735606.8916
735607.3872,735607.4301
735607.452,735607.4521
735607.4829,735607.5056
735607.5386,735607.573
735607.6016,735607.6914
735607.7384,735607.7396
735607.7767,735607.7869
735607.8087,735607.9351
735607.9777,735608.033
735608.0576,735608.0582
735608.082,735608.1811
735608.2067,735608.5745
735608.6368,735608.637
735608.7261,735608.7665
735608.9065,735608.9954
735609.0596,735609.1153
735609.162,735609.2339
735609.2555,735609.3496
735609.3733,735609.4163
735609.4509,735609.6447
735609.6705,735609.7002
735609.8018,735609.8022
735609.8377,735609.8966
735610.0081,735610.1437
735610.1699,735610.1845
735610.2414,735610.2699
735610.3041,735610.3074
735610.3541,735610.3548
735610.4008,735610.4008
735610.4385,735610.6519
735610.6797,735610.6969
735610.72,735611.5738
735611.6001,735611.7973
735611.8319,735611.8796
735611.9156,735611.9233
735611.9592,735611.9769
735612.0136,735612.0473
735612.1049,735612.14
735612.1875,735612.3709
735612.4014,735612.4014
735612.4395,735612.5385
735612.5624,735612.6366
735612.7039,735612.8058
735612.8472,735612.8594
735613.9989,735613.9989
735614.4148,735614.4148
735614.4456,735614.666
735614.698,735614.7457
735615.1539,735615.1558
735615.5143,735615.5157
735615.5442,735615.5442
735615.6068,735615.6202
735615.6469,735615.6949
735615.7198,735615.7199
735615.7601,735615.7614
735615.7884,735615.7901
735615.8438,735615.947
735615.9843,735616.2815
735617.0749,735617.1263
735617.1481,735617.1585
735617.1958,735617.2113
735617.2349,735617.2424
735617.2863,735617.3001
735617.4563,735617.4563
735617.7396,735617.7433
735617.7947,735617.8101
735618.2306,735618.499
735618.5268,735618.5311
735618.552,735618.5627
735618.592,735618.592
735618.6131,735618.6131
735618.6383,735618.69
735618.8669,735618.9086
735618.931,735618.9718
735619.1087,735619.3144
735619.3649,735619.3758
735619.4981,735619.5678
735619.5887,735619.6674
735619.7043,735619.723
735620.613,735620.6138
735620.6422,735620.6422
735620.6665,735620.6665
735620.7416,735620.7417
735620.8172,735620.8172
735621.0061,735621.3549
735621.3769,735621.3836
735621.4693,735621.4693
735621.5231,735621.5231
735621.8255,735621.8255
735621.8533,735621.8533
735622.0236,735622.0241
735622.0512,735622.068
735622.1042,735622.1152
735622.161,735622.1857
735622.2073,735622.2675
735622.3548,735622.3804
735622.408,735622.4139
735622.5462,735622.5514
735622.6433,735622.6528
735622.6786,735622.7231
735622.8812,735622.8863
735622.9135,735623.0925
735623.1236,735623.1236
735623.1584,735623.1717
735623.5868,735623.741
735623.8328,735623.9164
735623.9602,735624.0247
735624.0519,735624.0519
735624.0729,735624.4832
735624.5058,735624.5584
735624.8566,735625.1013
735625.2368,735625.2623
735627.1982,735627.2563
735627.2774,735627.7041
735627.7438,735627.7438
735627.7703,735627.7708
735627.8272,735627.8634
735627.9037,735627.9247
735627.9679,735627.968
735628.0241,735628.0242
735628.232,735628.2403
735628.3085,735628.3085
735628.3656,735628.3659
735628.631,735628.6447
735628.6666,735628.6666
735628.9254,735628.9608
735628.9885,735629.0273
735629.0547,735630.7879
735630.814,735630.8237
735630.8907,735630.8907
735630.9608,735630.9608
735631.0343,735631.7666
735631.8077,735631.8574
735631.901,735631.9017
735631.9587,735632.0352
735632.0915,735632.1949
735632.2177,735632.233
735632.2549,735632.4469
735632.4692,735632.9345
735632.9565,735632.9565
735632.983,735633.0173
735633.0451,735633.0526
735633.1814,735633.1933
735634.9849,735634.9965
735635.0464,735635.0464
735635.1125,735635.5242
735635.5714,735635.8644
735636.01,735636.0109
735636.0814,735636.2258
735636.2515,735636.7582
735636.803,735636.9476
735638.9265,735638.9599
735638.9891,735639.0979
735639.1535,735639.5706
735640.1765,735640.1865
735640.2274,735640.5332
735641.1406,735641.1406
735641.1775,735641.3125
735641.3728,735641.3752
735641.3984,735641.3984
735641.4218,735641.4286
735641.974,735642.0742
735642.1276,735642.1279
735642.1619,735642.1823
735642.2156,735642.2156
735642.2769,735642.3236
735642.4654,735642.4691
735643.1565,735643.2529
735643.449,735643.4562
735643.5006,735643.5006
735643.6057,735643.6057
735644.3021,735644.3041
735644.4481,735644.4483
735645.5539,735645.5544
735646.3709,735646.3709
735647.2859,735647.2859
735650.3358,735650.3358
735651.37,735651.5276
735651.7021,735651.7021
735658.1807,735658.198
735658.3741,735658.3794
735658.464,735658.5039
735659.3885,735659.3885
735660.1706,735660.1957
735660.2218,735660.2218
735660.2545,735660.2782
735660.3044,735660.337
735660.3648,735660.3777
735660.4021,735660.4179
735661.4295,735661.4297
735662.9053,735662.9173
735663.1935,735663.2
735664.7792,735664.7813
735666.3453,735666.3458
735667.4101,735667.4101
735677.2409,735677.2628
735677.3491,735677.35
735678.3036,735678.3042
