tbin,Count_Click,Count_Bin,Effort_Bin,Effort_Sec,PreAbs
06-May-2016 11:00:00,0,0,36,10800,0
06-May-2016 12:00:00,0,0,36,10800,0
06-May-2016 13:00:00,0,0,36,10800,0
06-May-2016 14:00:00,0,0,36,10800,0
06-May-2016 15:00:00,0,0,36,10800,0
06-May-2016 16:00:00,0,0,36,10800,0
06-May-2016 17:00:00,0,0,36,10800,0
06-May-2016 18:00:00,0,0,33,9900,0
06-May-2016 19:00:00,0,0,27,8100,0
06-May-2016 20:00:00,0,0,36,10800,0
06-May-2016 21:00:00,0,0,36,10800,0
06-May-2016 22:00:00,0,0,36,10800,0
06-May-2016 23:00:00,0,0,36,10800,0
07-May-2016 00:00:00,0,0,24,7200,0
07-May-2016 01:00:00,0,0,36,10800,0
07-May-2016 02:00:00,0,0,36,10800,0
07-May-2016 03:00:00,0,0,36,10800,0
07-May-2016 04:00:00,7,1,36,10800,1
07-May-2016 05:00:00,14,2,36,10800,1
07-May-2016 06:00:00,14,2,36,10800,1
07-May-2016 07:00:00,0,0,36,10800,0
07-May-2016 08:00:00,0,0,36,10800,0
07-May-2016 09:00:00,1,1,36,10800,1
07-May-2016 10:00:00,0,0,36,10800,0
07-May-2016 11:00:00,0,0,36,10800,0
07-May-2016 12:00:00,0,0,36,10800,0
07-May-2016 13:00:00,0,0,36,10800,0
07-May-2016 14:00:00,0,0,36,10800,0
07-May-2016 15:00:00,0,0,36,10800,0
07-May-2016 16:00:00,0,0,36,10800,0
07-May-2016 17:00:00,0,0,36,10800,0
07-May-2016 18:00:00,0,0,36,10800,0
07-May-2016 19:00:00,0,0,36,10800,0
07-May-2016 20:00:00,12,2,36,10800,1
07-May-2016 21:00:00,0,0,36,10800,0
07-May-2016 22:00:00,0,0,36,10800,0
07-May-2016 23:00:00,7,1,36,10800,1
08-May-2016 00:00:00,0,0,36,10800,0
08-May-2016 01:00:00,32,5,36,10800,1
08-May-2016 02:00:00,454,12,36,10800,1
08-May-2016 03:00:00,194,7,36,10800,1
08-May-2016 04:00:00,165,5,36,10800,1
08-May-2016 05:00:00,1262,12,36,10800,1
08-May-2016 06:00:00,2011,12,36,10800,1
08-May-2016 07:00:00,3910,12,36,10800,1
08-May-2016 08:00:00,4627,12,36,10800,1
08-May-2016 09:00:00,3351,12,36,10800,1
08-May-2016 10:00:00,628,12,36,10800,1
08-May-2016 11:00:00,245,7,27,8100,1
08-May-2016 12:00:00,8,2,36,10800,1
08-May-2016 13:00:00,0,0,36,10800,0
08-May-2016 14:00:00,197,7,36,10800,1
08-May-2016 15:00:00,490,10,36,10800,1
08-May-2016 16:00:00,294,11,36,10800,1
08-May-2016 17:00:00,559,10,36,10800,1
08-May-2016 18:00:00,186,8,36,10800,1
08-May-2016 19:00:00,13,4,36,10800,1
08-May-2016 20:00:00,0,0,36,10800,0
08-May-2016 21:00:00,0,0,36,10800,0
08-May-2016 22:00:00,0,0,36,10800,0
08-May-2016 23:00:00,0,0,36,10800,0
09-May-2016 00:00:00,0,0,36,10800,0
09-May-2016 01:00:00,0,0,36,10800,0
09-May-2016 02:00:00,0,0,36,10800,0
09-May-2016 03:00:00,0,0,36,10800,0
09-May-2016 04:00:00,0,0,36,10800,0
09-May-2016 05:00:00,0,0,36,10800,0
09-May-2016 06:00:00,0,0,36,10800,0
09-May-2016 07:00:00,0,0,36,10800,0
09-May-2016 08:00:00,0,0,36,10800,0
09-May-2016 09:00:00,0,0,36,10800,0
09-May-2016 10:00:00,0,0,36,10800,0
09-May-2016 11:00:00,0,0,36,10800,0
09-May-2016 12:00:00,0,0,36,10800,0
09-May-2016 13:00:00,0,0,36,10800,0
09-May-2016 14:00:00,0,0,36,10800,0
09-May-2016 15:00:00,0,0,36,10800,0
09-May-2016 16:00:00,0,0,36,10800,0
09-May-2016 17:00:00,0,0,36,10800,0
09-May-2016 18:00:00,0,0,36,10800,0
09-May-2016 19:00:00,0,0,36,10800,0
09-May-2016 20:00:00,0,0,27,8100,0
09-May-2016 21:00:00,0,0,27,8100,0
09-May-2016 22:00:00,0,0,36,10800,0
09-May-2016 23:00:00,0,0,36,10800,0
10-May-2016 00:00:00,0,0,36,10800,0
10-May-2016 01:00:00,0,0,36,10800,0
10-May-2016 02:00:00,0,0,36,10800,0
10-May-2016 03:00:00,0,0,36,10800,0
10-May-2016 04:00:00,0,0,36,10800,0
10-May-2016 05:00:00,0,0,36,10800,0
10-May-2016 06:00:00,0,0,36,10800,0
10-May-2016 07:00:00,0,0,36,10800,0
10-May-2016 08:00:00,0,0,36,10800,0
10-May-2016 09:00:00,0,0,36,10800,0
10-May-2016 10:00:00,0,0,36,10800,0
10-May-2016 11:00:00,63,10,36,10800,1
10-May-2016 12:00:00,209,10,36,10800,1
10-May-2016 13:00:00,187,9,36,10800,1
10-May-2016 14:00:00,245,8,36,10800,1
10-May-2016 15:00:00,106,7,36,10800,1
10-May-2016 16:00:00,38,3,36,10800,1
10-May-2016 17:00:00,78,10,36,10800,1
10-May-2016 18:00:00,74,9,36,10800,1
10-May-2016 19:00:00,87,7,36,10800,1
10-May-2016 20:00:00,0,0,36,10800,0
10-May-2016 21:00:00,0,0,36,10800,0
10-May-2016 22:00:00,0,0,36,10800,0
10-May-2016 23:00:00,0,0,36,10800,0
11-May-2016 00:00:00,0,0,36,10800,0
11-May-2016 01:00:00,0,0,36,10800,0
11-May-2016 02:00:00,0,0,36,10800,0
11-May-2016 03:00:00,0,0,36,10800,0
11-May-2016 04:00:00,0,0,36,10800,0
11-May-2016 05:00:00,0,0,36,10800,0
11-May-2016 06:00:00,21,3,36,10800,1
11-May-2016 07:00:00,231,10,36,10800,1
11-May-2016 08:00:00,46,7,36,10800,1
11-May-2016 09:00:00,114,6,36,10800,1
11-May-2016 10:00:00,254,8,36,10800,1
11-May-2016 11:00:00,3,1,36,10800,1
11-May-2016 12:00:00,0,0,36,10800,0
11-May-2016 13:00:00,0,0,36,10800,0
11-May-2016 14:00:00,0,0,36,10800,0
11-May-2016 15:00:00,0,0,36,10800,0
11-May-2016 16:00:00,2,1,36,10800,1
11-May-2016 17:00:00,44,10,36,10800,1
11-May-2016 18:00:00,342,12,36,10800,1
11-May-2016 19:00:00,391,12,36,10800,1
11-May-2016 20:00:00,313,10,36,10800,1
11-May-2016 21:00:00,472,12,36,10800,1
11-May-2016 22:00:00,583,12,36,10800,1
11-May-2016 23:00:00,310,9,36,10800,1
12-May-2016 00:00:00,115,9,36,10800,1
12-May-2016 01:00:00,448,12,36,10800,1
12-May-2016 02:00:00,1302,12,36,10800,1
12-May-2016 03:00:00,3820,12,36,10800,1
12-May-2016 04:00:00,4236,12,36,10800,1
12-May-2016 05:00:00,2021,12,36,10800,1
12-May-2016 06:00:00,79,3,36,10800,1
12-May-2016 07:00:00,0,0,36,10800,0
12-May-2016 08:00:00,0,0,36,10800,0
12-May-2016 09:00:00,0,0,36,10800,0
12-May-2016 10:00:00,0,0,36,10800,0
12-May-2016 11:00:00,0,0,36,10800,0
12-May-2016 12:00:00,0,0,36,10800,0
12-May-2016 13:00:00,0,0,36,10800,0
12-May-2016 14:00:00,0,0,36,10800,0
12-May-2016 15:00:00,0,0,36,10800,0
12-May-2016 16:00:00,0,0,36,10800,0
12-May-2016 17:00:00,0,0,36,10800,0
12-May-2016 18:00:00,0,0,36,10800,0
12-May-2016 19:00:00,0,0,36,10800,0
12-May-2016 20:00:00,0,0,36,10800,0
12-May-2016 21:00:00,0,0,36,10800,0
12-May-2016 22:00:00,0,0,36,10800,0
12-May-2016 23:00:00,0,0,36,10800,0
13-May-2016 00:00:00,0,0,36,10800,0
13-May-2016 01:00:00,0,0,36,10800,0
13-May-2016 02:00:00,0,0,36,10800,0
13-May-2016 03:00:00,0,0,36,10800,0
13-May-2016 04:00:00,0,0,36,10800,0
13-May-2016 05:00:00,0,0,36,10800,0
13-May-2016 06:00:00,0,0,36,10800,0
13-May-2016 07:00:00,0,0,36,10800,0
13-May-2016 08:00:00,0,0,36,10800,0
13-May-2016 09:00:00,0,0,36,10800,0
13-May-2016 10:00:00,0,0,36,10800,0
13-May-2016 11:00:00,0,0,36,10800,0
13-May-2016 12:00:00,0,0,36,10800,0
13-May-2016 13:00:00,0,0,36,10800,0
13-May-2016 14:00:00,0,0,36,10800,0
13-May-2016 15:00:00,0,0,36,10800,0
13-May-2016 16:00:00,0,0,36,10800,0
13-May-2016 17:00:00,0,0,36,10800,0
13-May-2016 18:00:00,0,0,36,10800,0
13-May-2016 19:00:00,0,0,36,10800,0
13-May-2016 20:00:00,0,0,36,10800,0
13-May-2016 21:00:00,0,0,36,10800,0
13-May-2016 22:00:00,0,0,36,10800,0
13-May-2016 23:00:00,0,0,36,10800,0
14-May-2016 00:00:00,0,0,36,10800,0
14-May-2016 01:00:00,0,0,36,10800,0
14-May-2016 02:00:00,0,0,36,10800,0
14-May-2016 03:00:00,0,0,36,10800,0
14-May-2016 04:00:00,0,0,36,10800,0
14-May-2016 05:00:00,0,0,36,10800,0
14-May-2016 06:00:00,0,0,36,10800,0
14-May-2016 07:00:00,0,0,36,10800,0
14-May-2016 08:00:00,0,0,36,10800,0
14-May-2016 09:00:00,0,0,36,10800,0
14-May-2016 10:00:00,0,0,36,10800,0
14-May-2016 11:00:00,0,0,36,10800,0
