Month,SST
1,5.272180067
2,4.691103419
3,4.47701004
4,5.299934591
5,8.194875096
6,10.15909229
7,13.05965969
8,13.93438193
9,13.21997165
10,10.23573499
11,8.481343874
12,7.404516275
