"","format.dates....m..","res"
"1","01",NA
"2","02",0.678621804284628
"3","03",0.652229140426728
"4","04",0.960598743533891
"5","05",2.72078530008957
"6","06",1.42732219227134
"7","07",1.3507568215427
"8","08",1.23804035248487
"9","09",1.35491815019161
"10","10",1.06746943228741
"11","11",NA
"12","12",NA
