time,latitude,longitude,analysed_sst,analysis_error
UTC,degrees_north,degrees_east,degree_C,degree_C
2016-05-06T09:00:00Z,32.11,-77.09,25.878,0.39
2016-05-06T09:00:00Z,32.11,-77.08,25.846,0.39
2016-05-06T09:00:00Z,32.12,-77.1,26.011,0.39
2016-05-06T09:00:00Z,32.12,-77.09,25.964,0.39
2016-05-06T09:00:00Z,32.12,-77.08,25.924,0.39
2016-05-07T09:00:00Z,32.1,-77.1,25.392,0.38
2016-05-07T09:00:00Z,32.1,-77.09,25.379,0.38
2016-05-07T09:00:00Z,32.1,-77.08,25.369,0.38
2016-05-07T09:00:00Z,32.11,-77.1,25.393,0.38
2016-05-07T09:00:00Z,32.11,-77.09,25.376,0.38
2016-05-07T09:00:00Z,32.11,-77.08,25.365,0.38
2016-05-07T09:00:00Z,32.12,-77.1,25.403,0.38
2016-05-07T09:00:00Z,32.12,-77.09,25.383,0.38
2016-05-07T09:00:00Z,32.12,-77.08,25.371,0.38
2016-05-08T09:00:00Z,32.1,-77.1,25.408,0.37
2016-05-08T09:00:00Z,32.1,-77.09,25.4,0.37
2016-05-08T09:00:00Z,32.1,-77.08,25.4,0.37
2016-05-08T09:00:00Z,32.11,-77.1,25.4,0.37
2016-05-08T09:00:00Z,32.11,-77.09,25.391,0.37
2016-05-08T09:00:00Z,32.11,-77.08,25.389,0.37
2016-05-08T09:00:00Z,32.12,-77.1,25.394,0.37
2016-05-08T09:00:00Z,32.12,-77.09,25.385,0.37
2016-05-08T09:00:00Z,32.12,-77.08,25.387,0.37
2016-05-09T09:00:00Z,32.1,-77.1,25.721,0.37
2016-05-09T09:00:00Z,32.1,-77.09,25.698,0.37
2016-05-09T09:00:00Z,32.1,-77.08,25.689,0.37
2016-05-09T09:00:00Z,32.11,-77.1,25.719,0.37
2016-05-09T09:00:00Z,32.11,-77.09,25.703,0.37
2016-05-09T09:00:00Z,32.11,-77.08,25.699,0.37
2016-05-09T09:00:00Z,32.12,-77.1,25.718,0.37
2016-05-09T09:00:00Z,32.12,-77.09,25.712,0.37
2016-05-09T09:00:00Z,32.12,-77.08,25.716,0.37
2016-05-10T09:00:00Z,32.1,-77.1,25.873,0.38
2016-05-10T09:00:00Z,32.1,-77.09,25.835,0.38
2016-05-10T09:00:00Z,32.1,-77.08,25.82,0.38
2016-05-10T09:00:00Z,32.11,-77.1,25.824,0.38
2016-05-10T09:00:00Z,32.11,-77.09,25.8,0.38
2016-05-10T09:00:00Z,32.11,-77.08,25.804,0.38
2016-05-10T09:00:00Z,32.12,-77.1,25.792,0.38
2016-05-10T09:00:00Z,32.12,-77.09,25.781,0.38
2016-05-10T09:00:00Z,32.12,-77.08,25.804,0.38
2016-05-11T09:00:00Z,32.1,-77.1,26.055,0.38
2016-05-11T09:00:00Z,32.1,-77.09,26.04,0.38
2016-05-11T09:00:00Z,32.1,-77.08,26.045,0.38
2016-05-11T09:00:00Z,32.11,-77.1,26.043,0.38
2016-05-11T09:00:00Z,32.11,-77.09,26.029,0.38
2016-05-11T09:00:00Z,32.11,-77.08,26.038,0.38
2016-05-11T09:00:00Z,32.12,-77.1,26.034,0.38
2016-05-11T09:00:00Z,32.12,-77.09,26.025,0.38
2016-05-11T09:00:00Z,32.12,-77.08,26.038,0.38
2016-05-12T09:00:00Z,32.1,-77.1,25.833,0.37
2016-05-12T09:00:00Z,32.1,-77.09,25.863,0.37
2016-05-12T09:00:00Z,32.1,-77.08,25.906,0.37
2016-05-12T09:00:00Z,32.11,-77.1,25.866,0.37
2016-05-12T09:00:00Z,32.11,-77.09,25.89,0.37
2016-05-12T09:00:00Z,32.11,-77.08,25.923000000000002,0.37
2016-05-12T09:00:00Z,32.12,-77.1,25.893,0.37
2016-05-12T09:00:00Z,32.12,-77.09,25.914,0.37
2016-05-12T09:00:00Z,32.12,-77.08,25.941,0.37
2016-05-13T09:00:00Z,32.1,-77.1,26.057,0.38
2016-05-13T09:00:00Z,32.1,-77.09,26.066,0.38
2016-05-13T09:00:00Z,32.1,-77.08,26.076999999999998,0.38
2016-05-13T09:00:00Z,32.11,-77.1,26.055,0.38
2016-05-13T09:00:00Z,32.11,-77.09,26.064,0.38
2016-05-13T09:00:00Z,32.11,-77.08,26.075,0.38
2016-05-13T09:00:00Z,32.12,-77.1,26.051,0.38
2016-05-13T09:00:00Z,32.12,-77.09,26.061,0.38
2016-05-13T09:00:00Z,32.12,-77.08,26.072,0.38
2016-05-14T09:00:00Z,32.1,-77.1,26.231,0.37
2016-05-14T09:00:00Z,32.1,-77.09,26.244,0.37
2016-05-14T09:00:00Z,32.1,-77.08,26.257,0.37
2016-05-14T09:00:00Z,32.11,-77.1,26.245,0.37
2016-05-14T09:00:00Z,32.11,-77.09,26.257,0.37
2016-05-14T09:00:00Z,32.11,-77.08,26.271,0.37
2016-05-14T09:00:00Z,32.12,-77.1,26.255,0.37
2016-05-14T09:00:00Z,32.12,-77.09,26.266,0.37
2016-05-14T09:00:00Z,32.12,-77.08,26.279,0.37
2016-05-15T09:00:00Z,32.1,-77.1,26.281,0.37
2016-05-15T09:00:00Z,32.1,-77.09,26.298000000000002,0.37
2016-05-15T09:00:00Z,32.1,-77.08,26.312,0.37
2016-05-15T09:00:00Z,32.11,-77.1,26.296,0.37
2016-05-15T09:00:00Z,32.11,-77.09,26.316,0.37
2016-05-15T09:00:00Z,32.11,-77.08,26.334,0.37
2016-05-15T09:00:00Z,32.12,-77.1,26.308,0.37
2016-05-15T09:00:00Z,32.12,-77.09,26.328,0.37
2016-05-15T09:00:00Z,32.12,-77.08,26.348,0.37
2016-05-16T09:00:00Z,32.1,-77.1,26.231,0.38
2016-05-16T09:00:00Z,32.1,-77.09,26.225,0.38
2016-05-16T09:00:00Z,32.1,-77.08,26.22,0.38
2016-05-16T09:00:00Z,32.11,-77.1,26.278,0.38
2016-05-16T09:00:00Z,32.11,-77.09,26.269,0.38
2016-05-16T09:00:00Z,32.11,-77.08,26.263,0.38
2016-05-16T09:00:00Z,32.12,-77.1,26.317,0.38
2016-05-16T09:00:00Z,32.12,-77.09,26.307,0.38
2016-05-16T09:00:00Z,32.12,-77.08,26.299,0.38
2016-05-17T09:00:00Z,32.1,-77.1,25.776,0.39
2016-05-17T09:00:00Z,32.1,-77.09,25.748,0.39
2016-05-17T09:00:00Z,32.1,-77.08,25.724,0.39
2016-05-17T09:00:00Z,32.11,-77.1,25.853,0.39
2016-05-17T09:00:00Z,32.11,-77.09,25.825,0.39
2016-05-17T09:00:00Z,32.11,-77.08,25.799,0.39
2016-05-17T09:00:00Z,32.12,-77.1,25.928,0.39
2016-05-17T09:00:00Z,32.12,-77.09,25.899,0.39
2016-05-17T09:00:00Z,32.12,-77.08,25.872,0.39
2016-05-18T09:00:00Z,32.1,-77.1,25.721,0.4
2016-05-18T09:00:00Z,32.1,-77.09,25.699,0.4
2016-05-18T09:00:00Z,32.1,-77.08,25.679,0.4
2016-05-18T09:00:00Z,32.11,-77.1,25.756,0.4
2016-05-18T09:00:00Z,32.11,-77.09,25.733,0.4
2016-05-18T09:00:00Z,32.11,-77.08,25.711,0.4
2016-05-18T09:00:00Z,32.12,-77.1,25.792,0.4
2016-05-18T09:00:00Z,32.12,-77.09,25.768,0.4
2016-05-18T09:00:00Z,32.12,-77.08,25.745,0.4
2016-05-19T09:00:00Z,32.1,-77.1,26.368,0.41000000000000003
2016-05-19T09:00:00Z,32.1,-77.09,26.34,0.41000000000000003
2016-05-19T09:00:00Z,32.1,-77.08,26.312,0.41000000000000003
2016-05-19T09:00:00Z,32.11,-77.1,26.378,0.41000000000000003
2016-05-19T09:00:00Z,32.11,-77.09,26.351,0.41000000000000003
2016-05-19T09:00:00Z,32.11,-77.08,26.323,0.41000000000000003
2016-05-19T09:00:00Z,32.12,-77.1,26.388,0.41000000000000003
2016-05-19T09:00:00Z,32.12,-77.09,26.361,0.41000000000000003
2016-05-19T09:00:00Z,32.12,-77.08,26.334,0.41000000000000003
2016-05-20T09:00:00Z,32.1,-77.1,27.186,0.4
2016-05-20T09:00:00Z,32.1,-77.09,27.184,0.4
2016-05-20T09:00:00Z,32.1,-77.08,27.182,0.4
2016-05-20T09:00:00Z,32.11,-77.1,27.194,0.4
2016-05-20T09:00:00Z,32.11,-77.09,27.193,0.4
2016-05-20T09:00:00Z,32.11,-77.08,27.191,0.4
2016-05-20T09:00:00Z,32.12,-77.1,27.203,0.4
2016-05-20T09:00:00Z,32.12,-77.09,27.201999999999998,0.4
2016-05-20T09:00:00Z,32.12,-77.08,27.2,0.4
2016-05-21T09:00:00Z,32.1,-77.1,27.165,0.39
2016-05-21T09:00:00Z,32.1,-77.09,27.162,0.39
2016-05-21T09:00:00Z,32.1,-77.08,27.162,0.39
2016-05-21T09:00:00Z,32.11,-77.1,27.196,0.39
2016-05-21T09:00:00Z,32.11,-77.09,27.191,0.39
2016-05-21T09:00:00Z,32.11,-77.08,27.188,0.39
2016-05-21T09:00:00Z,32.12,-77.1,27.221,0.39
2016-05-21T09:00:00Z,32.12,-77.09,27.214,0.39
2016-05-21T09:00:00Z,32.12,-77.08,27.207,0.39
2016-05-22T09:00:00Z,32.1,-77.1,27.2,0.39
